Number ,tweetDate,twitterId,Code,text,tweetLink,RT,Likes,timestamp,query
50,Fri Mar 24 11:23:42 +0000 2023,2543778775,,"AstraZeneca pone en marcha un nuevo 'hub' de investigación en Barcelona con foco en cinco áreas: oncología enfermedades cardiovasculares y metabólicas enfermedades respiratorias vacunas e inmunoterapia y enfermedades raras. 
Conoce más ➡@EFEnoticias  https://t.co/56oAc2744R.",https://twitter.com/AstraZenecaES/status/1639226479371513856,,,6/3/23 10:22,astrazeneca barcelona
51,Fri Mar 24 10:58:39 +0000 2023,534398424,,Con una inversión de unos 800 millones de euros de aquí a 5 años AstraZeneca creará 1.000 puestos de trabajo científicos y de alta tecnología en su nuevo centro europeo de I D de Barcelona: AstraZeneca invertirá unos 800 millones de euros de... https://t.co/PUQ9EbxaaX https://t.co/eZZFb13Ads,https://twitter.com/Farmaventas/status/1639220175760392192,,,6/3/23 10:22,astrazeneca barcelona
52,Mon Mar 27 15:31:01 +0000 2023,2360669288,,AstraZeneca to create 1000 new jobs in Barcelona with the largest-ever foreign R&ampD investment in Catalonia - https://t.co/LEcmfFUv17 https://t.co/n9LbDk6stC https://t.co/tdnHX3gTqQ,https://twitter.com/StartupGrindBCN/status/1640375880223539202,,,6/3/23 10:22,astrazeneca barcelona
53,Fri Mar 24 16:53:09 +0000 2023,2435302884,,El hub d’AstraZeneca aterra a Barcelona: 800 milions i 1.000 llocs de feina https://t.co/DnuW0dhDAu,https://twitter.com/FanaletFernando/status/1639309386068770831,,,6/3/23 10:22,astrazeneca barcelona
54,Fri Mar 24 23:27:44 +0000 2023,282282827,,AstraZeneca invertirá 800 millones en un 'hub' de innovación en salud en Barcelona https://t.co/lpT2DUBzir #PMFarma #empleo #salud vía @pmfarma,https://twitter.com/martinjofre74/status/1639408688199868418,,,6/3/23 10:22,astrazeneca barcelona
55,Mon Mar 27 06:47:03 +0000 2023,1285894094,,"💉@AstraZeneca to invest €800M and create 1000 new jobs in Barcelona.

📈Largest-ever foreign R&ampD investment in Catalonia.

⚕️This will help position Catalonia as one of the leading territories in Europe in Life Sciences.

🔗Read more at @Catalonia_TI https://t.co/q6quMd5P65",https://twitter.com/CataloniaPD/status/1640244019060957185,,,6/3/23 10:22,astrazeneca barcelona
56,Tue Mar 28 10:07:35 +0000 2023,2162534929,,AstraZeneca invertirá 800 millones en un ‘hub’ de investigación en Barcelona con mil nuevos puestos de trabajo https://t.co/qrtiQ2fJZe,https://twitter.com/SI_fdi/status/1640656876282028035,,,6/3/23 10:22,astrazeneca barcelona
57,Sat Mar 25 07:19:50 +0000 2023,2558756016,,"Invertir en I+D es transformar la vida de las personas
El nuevo HUB de #AstraZeneca en #Barcelona supone más recursos sinergias y posibilidades de colaboración público-privadas para seguir investigando y buscar conjuntamente nuevas soluciones terapéuticas
https://t.co/2U8xYxIAi0 https://t.co/fcSe3WcrxM",https://twitter.com/anahdezbonancia/status/1639527496755421185,,,6/3/23 10:22,astrazeneca barcelona
58,Fri Mar 24 12:10:52 +0000 2023,549312097,,AstraZeneca invertirá 800 millones en un ‘hub’ de investigación en Barcelona con mil nuevos puestos de trabajo https://t.co/NUwqfMZFN3 a través de @el_pais,https://twitter.com/ana_varro/status/1639238349629321217,,,6/3/23 10:22,astrazeneca barcelona
59,Fri Mar 24 07:28:58 +0000 2023,3439292716,,AstraZeneca invertirá 800 millones en un centro de innovación en salud en Barcelona https://t.co/hqZXMmAaZe,https://twitter.com/okdiario/status/1639167405137227776,,,6/3/23 10:22,astrazeneca barcelona
60,Thu Mar 23 18:38:39 +0000 2023,800710514,,La lletra petita de la inversió de 800 MEUR d'AstraZeneca a Barcelona https://t.co/eNRofZ2Iqj,https://twitter.com/carneisabel/status/1638973549279866880,,,6/3/23 10:22,astrazeneca barcelona
